match_id,nick_name,full_name,pos,team,saves,pen_saves
1059702,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,2,0
1059702,Krul,Tim Krul,Goalkeeper,NOR,4,0
1059703,Ramsdale,Aaron Ramsdale,Goalkeeper,BOU,2,0
1059703,Henderson (Dean),Dean Henderson,Goalkeeper,SHU,2,0
1059704,Pope,Nick Pope,Goalkeeper,BUR,3,0
1059704,Gunn,Angus Gunn,Goalkeeper,SOU,1,0
1059705,Guaita,Vicente Guaita,Goalkeeper,CRY,2,0
1059705,Pickford,Jordan Pickford,Goalkeeper,EVE,2,0
1059706,Schmeichel,Kasper Schmeichel,Goalkeeper,LEI,2,0
1059706,Rui Patrício,Rui Pedro dos Santos Patrício,Goalkeeper,WOL,1,0
1059707,Heaton,Tom Heaton,Goalkeeper,AVL,3,0
1059707,Lloris,Hugo Lloris,Goalkeeper,TOT,3,0
1059708,Mat Ryan,Mathew Ryan,Goalkeeper,BHA,3,0
1059708,Foster,Ben Foster,Goalkeeper,WAT,1,0
1059709,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,3,0
1059709,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,4,0
1059710,Kepa,Kepa Arrizabalaga Revuelta,Goalkeeper,CHE,1,0
1059710,De Gea,David De Gea,Goalkeeper,MUN,7,0
1059711,Leno,Bernd Leno,Goalkeeper,ARS,2,0
1059711,Dubravka,Martin Dubravka,Goalkeeper,NEW,1,0
1059712,Leno,Bernd Leno,Goalkeeper,ARS,3,0
1059712,Pope,Nick Pope,Goalkeeper,BUR,7,0
1059713,Heaton,Tom Heaton,Goalkeeper,AVL,2,0
1059713,Ramsdale,Aaron Ramsdale,Goalkeeper,BOU,6,0
1059714,Mat Ryan,Mathew Ryan,Goalkeeper,BHA,2,0
1059714,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,3,0
1059715,Kepa,Kepa Arrizabalaga Revuelta,Goalkeeper,CHE,2,0
1059715,Schmeichel,Kasper Schmeichel,Goalkeeper,LEI,4,0
1059716,Pickford,Jordan Pickford,Goalkeeper,EVE,2,0
1059716,Foster,Ben Foster,Goalkeeper,WAT,1,0
